Date,Latitude Start,Longitude Start,Latitude Mid,Longitude Mid,Latitude Stop,Longitude Stop,Depth (m),SVY,Parameters,EOV Groups,source_file,program,mission,yr,platform,frequency_label
2015-05-09,37.087986,-122.688217,37.0813025,-122.673374,37.074619,-122.658531,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-09,37.074333,-122.657913,37.067316,-122.643597,37.060299,-122.62928,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-09,37.036919,-122.609505,37.030096,-122.596363,37.023273,-122.583221,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-09,37.023064,-122.582474,37.018912,-122.566426,37.014759,-122.550377,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-09,37.014545,-122.549629,37.009761,-122.533962,37.004978,-122.518295,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-09,37.004715,-122.517563,36.999303,-122.502217,36.993892,-122.48687,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-09,36.993656,-122.486183,36.987989,-122.470898,36.982323,-122.455612,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-09,36.908531,-122.282631,36.898262,-122.27438,36.887993,-122.266129,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-09,36.887375,-122.265839,36.87442,-122.2607195,36.861465,-122.2556,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-09,36.860832,-122.255386,36.847761,-122.251236,36.83469,-122.247086,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-09,36.780724,-122.231247,36.767746,-122.227204,36.754768,-122.22316,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-09,36.793644,-122.117073,36.780455,-122.113949,36.767265,-122.110825,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
